character,reading,meaning,level,level_label,radical,stroke_count
敔,어,막을,0,특급,攴,7
饇,어,배부를,0,특급,食,11
飫,어,배부를,0,특급,食,4
嶷,억,숙성할,0,특급,山,14
鰋,언,메기,0,특급,魚,9
唁,언,위문할,0,특급,口,7
臬,얼,문지방,0,특급,自,4
孽,얼,서자,0,특급,子,17
臲,얼,위태할,0,특급,自,10
揜,엄,가릴,0,특급,手,9
閹,엄,고자/내시,0,특급,門,8
渰,엄,구름일,0,특급,水,9
鸒,여,갈까마귀,0,특급,鳥,14
旟,여,기,0,특급,方,16
洳,여,물이름/축축할,0,특급,水,6
畬,여,세해된밭,0,특급,田,7
鶂,역,거위소리,0,특급,鳥,8
懌,역,기뻐할,0,특급,心,13
棫,역,두릅나무,0,특급,木,8
閾,역,문지방,0,특급,門,8
罭,역,물고기그물,0,특급,网,8
淢,역,빨리흐를,0,특급,水,8
嶧,역,산이름,0,특급,山,13
埸,역,지경/밭두둑,0,특급,土,8
鷊,역,칠면조,0,특급,鳥,10
晹,역,햇살약할,0,특급,日,8
緎,역,혼솔,0,특급,糸,8
兗,연,땅이름,0,특급,儿,7
蜎,연,벌레꿈틀거릴,0,특급,虫,7
